,date,dayNum,dayOfWeek,yearFreq,trend,seasonal,weekly,outlier,noise
0,2008-07-13,1,Sunday,0.530054644808743,313929525.25832456,0.943917845542987,0.897850306327976,1.0,0.9750239586770519
1,2008-07-14,2,Monday,0.532786885245902,314298683.6810209,0.943383518928558,1.0733157535791,1.0,1.0146298028689
2,2008-07-15,3,Tuesday,0.53551912568306,314667734.27400607,0.942383167627116,1.0812333157571299,1.0,1.01398181253869
3,2008-07-16,4,Wednesday,0.538251366120219,315036676.8252592,0.9410485135296459,1.0720011328944798,1.0,1.01397870592892
4,2008-07-17,5,Thursday,0.540983606557377,315405511.14721835,0.939797039443728,1.0545454535171899,1.0,1.02757994878155
5,2008-07-18,6,Friday,0.543715846994536,315774237.0769364,0.938751472362919,1.00711725173268,1.0,1.02782476968254
6,2008-07-19,7,Saturday,0.5464480874316939,316142854.47622097,0.9377213210922919,0.8643661943681759,1.0,0.982292689297123
7,2008-07-20,8,Sunday,0.549180327868853,316511363.231787,0.9366390118235319,0.897550158123292,1.0,0.980097948418058
8,2008-07-21,9,Monday,0.551912568306011,316879763.2553945,0.935404910893928,1.07341642538202,1.0,1.02307965744487
9,2008-07-22,10,Tuesday,0.5546448087431689,317248054.48399913,0.934092546635925,1.08130590904293,1.0,1.02087770073899
10,2008-07-23,11,Wednesday,0.557377049180328,317616236.8798951,0.932802903240297,1.07207116524827,1.0,1.016656451633
11,2008-07-24,12,Thursday,0.560109289617486,317984310.43085235,0.93163641585915,1.05464010849187,1.0,1.01788503912621
12,2008-07-25,13,Friday,0.562841530054645,318352275.1502627,0.9306863727035021,1.0072045966165502,1.0,1.01458317515293
13,2008-07-26,14,Saturday,0.565573770491803,318720131.0772713,0.929920073420135,0.8641920556659021,1.0,0.9759503758857471
14,2008-07-27,15,Sunday,0.568306010928962,319087878.2769251,0.929205159292237,0.897250110257097,1.0,0.970927294445218
15,2008-07-28,16,Monday,0.57103825136612,319455516.8403016,0.928444253235994,1.07351710662741,1.0,1.01977771171599
16,2008-07-29,17,Tuesday,0.5737704918032789,319823046.8846467,0.927774147730998,1.08137850720265,1.0,1.01766717536797
17,2008-07-30,18,Wednesday,0.576502732240437,320190468.55350834,0.92707197996823,1.07214120217714,1.0,1.01306146381099
18,2008-07-31,19,Thursday,0.579234972677596,320557782.01687664,0.9263218416825519,1.0547347719626998,1.0,1.0246334098340402
19,2008-08-01,20,Friday,0.5819672131147541,320924987.4713,0.9256142092852829,1.00729194907561,1.0,1.02610760260141
20,2008-08-02,21,Saturday,0.584699453551913,321292085.1400331,0.924920274391869,0.864017952046303,1.0,0.9922628644018209
21,2008-08-03,22,Sunday,0.587431693989071,321659075.27314866,0.924211317134143,0.89695016269585,1.0,0.9826385186919251
22,2008-08-04,23,Monday,0.590163934426229,322025958.1476799,0.9234587063616658,1.07361779731621,1.0,1.0190316533355799
23,2008-08-05,24,Tuesday,0.592896174863388,322392734.06773674,0.922288406264277,1.08145111023657,1.0,1.01585577072616
24,2008-08-06,25,Wednesday,0.595628415300546,322759403.3646341,0.920809687768648,1.0722112436814202,1.0,1.01136301293446
25,2008-08-07,26,Thursday,0.5983606557377049,323125966.39701694,0.919716104846111,1.05482944393042,1.0,1.0228083145174498
26,2008-08-08,27,Friday,0.601092896174863,323492423.5509731,0.918678658368903,1.00737930911055,1.0,1.02787965060835
27,2008-08-09,28,Saturday,0.603825136612022,323858775.24016327,0.9175805435922291,0.863843883502323,1.0,0.9999750879356079
28,2008-08-10,29,Sunday,0.60655737704918,324225021.90593505,0.9173002102097609,0.89665031540602,1.0,0.9936842326360649
29,2008-08-11,30,Monday,0.609289617486339,324591164.0174415,0.9173512718350341,1.0737184974493101,1.0,1.02510985076204
30,2008-08-12,31,Tuesday,0.6120218579234971,324957202.071755,0.9176279899314169,1.0815237181450001,1.0,1.0198338855612699
31,2008-08-13,32,Wednesday,0.614754098360656,325323136.5939816,0.918272740498869,1.07228128976142,1.0,1.01968047231693
32,2008-08-14,33,Thursday,0.617486338797814,325688968.1373716,0.919428649960366,1.0549241243958198,1.0,1.00808059819165
33,2008-08-15,34,Friday,0.620218579234973,326054697.2834345,0.9212535544518571,1.0074666767220102,1.0,0.9766719105569409
34,2008-08-16,35,Saturday,0.6229508196721311,326420324.6420458,0.923855374316875,0.8636698500268941,1.0,0.9877191492535201
35,2008-08-17,36,Sunday,0.62568306010929,326785850.8515473,0.9269046168634141,0.896350568354086,1.0,0.983043092847735
36,2008-08-18,37,Monday,0.628415300546448,327151276.57886857,0.930152800743514,1.07381920702759,1.0,1.0117676814449599
37,2008-08-19,38,Tuesday,0.631147540983607,327516602.5196188,0.934453340076252,1.0815963309282801,1.0,1.01458003805564
38,2008-08-20,39,Wednesday,0.633879781420765,327881829.39818674,0.938701430277883,1.07235134041743,1.0,1.0119099419387199
39,2008-08-21,40,Thursday,0.636612021857924,328246957.9678506,0.9427866558142041,1.0550188133596399,1.0,1.01741008512656
40,2008-08-22,41,Friday,0.639344262295082,328611989.0108713,0.947429504933902,1.00755405191066,1.0,1.0232367183848001
41,2008-08-23,42,Saturday,0.6420765027322399,328976923.3385917,0.952227230090441,0.8634958516129521,1.0,0.994492798772044
42,2008-08-24,43,Sunday,0.644808743169399,329341761.79152817,0.956769189277827,0.8960509215065391,1.0,0.9754801498967219
43,2008-08-25,44,Monday,0.647540983606557,329706505.23946565,0.9606370692208549,1.0739199260519399,1.0,1.01056211717925
44,2008-08-26,45,Tuesday,0.650273224043716,330071154.58155257,0.9638008765739781,1.08166894858673,1.0,1.0147014854334102
45,2008-08-27,46,Wednesday,0.653005464480874,330435710.74638444,0.9666617882675459,1.0724213956497601,1.0,1.01334598098241
46,2008-08-28,47,Thursday,0.655737704918033,330800174.69209707,0.9694457911196279,1.0551135108226402,1.0,1.01570109394783
47,2008-08-29,48,Friday,0.658469945355191,331164547.40644723,0.9718295273994609,1.00764143467715,1.0,1.01791368259368
48,2008-08-30,49,Saturday,0.6612021857923499,331528829.9068981,0.9738501752369441,0.863321888253432,1.0,0.9670797770072069
49,2008-08-31,50,Sunday,0.6639344262295079,331893023.2407077,0.976205491062012,0.89575137482988,1.0,0.9668125259176851
50,2008-09-01,51,Monday,0.666666666666667,332257128.4849976,0.9785125410055129,1.07402065452325,1.0,0.9690786170148629
51,2008-09-02,52,Tuesday,0.669398907103825,332621146.7468392,0.980672244244442,1.08174157112069,1.0,1.00602878242971
52,2008-09-03,53,Wednesday,0.672131147540984,332985079.1633274,0.982836866421662,1.07249145545869,1.0,1.0174148595158399
53,2008-09-04,54,Thursday,0.674863387978142,333348926.9016539,0.985160045846722,1.0552082167856,1.0,1.0249478392995999
54,2008-09-05,55,Friday,0.677595628415301,333712691.1591785,0.9878491080049621,1.00772882502214,1.0,1.01960424158153
55,2008-09-06,56,Saturday,0.680327868852459,334076373.1635039,0.991430808577204,0.8631479599412729,1.0,0.9962738163062901
56,2008-09-07,57,Sunday,0.6830601092896171,334439974.1725356,0.995184669483709,0.895451928290624,1.0,0.9867274712730061
57,2008-09-08,58,Monday,0.685792349726776,334803495.4745542,0.9981831990779241,1.0741213924424,1.0,1.01278890384309
58,2008-09-09,59,Tuesday,0.688524590163934,335166938.38827974,1.00121576689486,1.0818141985304799,1.0,1.00717275515709
59,2008-09-10,60,Wednesday,0.691256830601093,335530304.2629256,1.00389779432495,1.07256151984454,1.0,1.01088730341624
60,2008-09-11,61,Thursday,0.6939890710382509,335893594.47826266,1.00590461309692,1.0553029312492799,1.0,1.0116878148227801
61,2008-09-12,62,Friday,0.69672131147541,336256810.4446804,1.00759952216722,1.0078162229462901,1.0,1.01115572192892
62,2008-09-13,63,Saturday,0.6994535519125681,336619953.6032372,1.0090316342141201,0.862974066669413,1.0,0.980996657858336
63,2008-09-14,64,Sunday,0.702185792349727,336983025.42571425,1.01025058418951,0.895152581855295,1.0,0.975521168775049
64,2008-09-15,65,Monday,0.704918032786885,337346027.4146585,1.01130641101251,1.07422213981028,1.0,0.993674579519727
65,2008-09-16,66,Tuesday,0.707650273224044,337708961.1034512,1.0116580886034499,1.08188683081642,1.0,0.9743457305088141
66,2008-09-17,67,Wednesday,0.7103825136612021,338071828.0563356,1.01137923340746,1.0726315888076,1.0,0.9856020337571729
67,2008-09-18,68,Thursday,0.713114754098361,338434629.8684654,1.01144263989218,1.05539765421443,1.0,0.998591543043966
68,2008-09-19,69,Friday,0.715846994535519,338797368.1659466,1.01198831316527,1.00790362845025,1.0,1.0123547479105
69,2008-09-20,70,Saturday,0.718579234972678,339160044.60588515,1.01251751617877,0.8628002084307941,1.0,0.9719095186142729
70,2008-09-21,71,Sunday,0.7213114754098359,339522660.8764104,1.0130556146626999,0.894853335490427,1.0,0.977783221142227
71,2008-09-22,72,Monday,0.724043715846995,339885218.6967146,1.01376430466373,1.07432289662776,1.0,1.0115556081133101
72,2008-09-23,73,Tuesday,0.726775956284153,340247719.8170941,1.01457609210703,1.08195946797884,1.0,0.943786195909297
73,2008-09-24,74,Wednesday,0.729508196721312,340610166.01896626,1.01533716706852,1.07270166234816,1.0,1.00457756391978
74,2008-09-25,75,Thursday,0.73224043715847,340972559.114903,1.01589327335183,1.05549238568183,1.0,1.01035470541374
75,2008-09-26,76,Friday,0.7349726775956279,341334900.9486571,1.016083511588,1.0079910415346802,1.0,1.01140448853537
76,2008-09-27,77,Saturday,0.737704918032787,341697193.39518213,1.01578577913079,0.8626263852183579,1.0,0.974064089923913
77,2008-09-28,78,Sunday,0.7404371584699448,342059438.3606524,1.01533594456037,0.894554189162569,1.0,0.9767030094617071
78,2008-09-29,79,Monday,0.743169398907104,342421637.7824866,1.01511941659496,1.07442366289575,1.0,1.00094979370528
79,2008-09-30,80,Tuesday,0.745901639344262,342783793.62935346,1.0145995391701899,1.0820321100180699,1.0,0.992007897703028
80,2008-10-01,81,Wednesday,0.7486338797814208,343145907.90119344,1.0141611354200002,1.07277174046653,1.0,0.983223657649247
81,2008-10-02,82,Thursday,0.7513661202185792,343507982.62922287,1.01386709462538,1.05558712565223,1.0,0.9888731443469
82,2008-10-03,83,Friday,0.754098360655738,343870019.87594444,1.01344216542621,1.00807846220024,1.0,0.994013889634207
83,2008-10-04,84,Saturday,0.756830601092896,344232021.7351543,1.01323342512267,0.862452597025047,1.0,0.977915548934626
84,2008-10-05,85,Sunday,0.7595628415300552,344593990.33194005,1.01300343976132,0.894255142838278,1.0,0.98529711141138
85,2008-10-06,86,Monday,0.762295081967213,344955927.8226856,1.0127255087209102,1.07452443861513,1.0,1.01839133593746
86,2008-10-07,87,Tuesday,0.7650273224043721,345317836.39506555,1.01304895531081,1.08210475693445,1.0,1.01254022335161
87,2008-10-08,88,Wednesday,0.76775956284153,345679718.2680385,1.0140544525013,1.0728418231630101,1.0,1.00827599770072
88,2008-10-09,89,Thursday,0.770491803278688,346041575.6918483,1.0153514070507,1.0556818741264,1.0,0.9646096608531309
89,2008-10-10,90,Friday,0.773224043715847,346403410.947999,1.01662395321955,1.0081658904475899,1.0,0.910460653469431
90,2008-10-11,91,Saturday,0.775956284153005,346765226.3492581,1.01831050594204,0.862278843843808,1.0,0.96981187358448
91,2008-10-12,92,Sunday,0.7786885245901641,347127024.23962593,1.02000458187643,0.8939561964841222,1.0,0.9664341228525799
92,2008-10-13,93,Monday,0.781420765027322,347488806.99433076,1.0216681871014799,1.0746252237867802,1.0,0.997304286543464
93,2008-10-14,94,Tuesday,0.784153005464481,347850577.01979727,1.02367737074414,1.08217740872829,1.0,1.00408980224892
94,2008-10-15,95,Wednesday,0.786885245901639,348212336.753628,1.0257855189735,1.0729119104379,1.0,1.01255869355015
95,2008-10-16,96,Thursday,0.7896174863387979,348574088.6645763,1.0277441107226999,1.05577663110509,1.0,1.0115963199015698
96,2008-10-17,97,Friday,0.792349726775956,348935835.2525158,1.02930277973687,1.00825332627738,1.0,1.01322958678227
97,2008-10-18,98,Saturday,0.795081967213115,349297579.04840904,1.03080753425932,0.862105125667585,1.0,0.9734126023246221
98,2008-10-19,99,Sunday,0.797814207650273,349659322.6142752,1.03240301509751,0.893657350066684,1.0,0.974420113830359
99,2008-10-20,100,Monday,0.8005464480874319,350021068.5431462,1.0335333528065,1.07472601841159,1.0,1.0081552953672
100,2008-10-21,101,Tuesday,0.80327868852459,350382819.459036,1.0340492212827601,1.08225006539992,1.0,1.00411776510965
101,2008-10-22,102,Wednesday,0.8060109289617491,350744578.0168867,1.03420100159245,1.07298200229149,1.0,0.990098855311332
102,2008-10-23,103,Thursday,0.808743169398907,351106346.90253353,1.03401121416391,1.05587139658909,1.0,1.0064369272601998
103,2008-10-24,104,Friday,0.8114754098360659,351468128.83264494,1.03294722523144,1.00834076969028,1.0,1.0145793079827299
104,2008-10-25,105,Saturday,0.8142076502732242,351829926.5546844,1.03115834527293,0.861931442489328,1.0,0.9738998538057729
105,2008-10-26,106,Sunday,0.8169398907103829,352191742.84683913,1.02919459204322,0.8933586035525529,1.0,0.987132393839617
106,2008-10-27,107,Monday,0.819672131147541,352553580.51797587,1.0276023793018398,1.07482682249044,1.0,1.0068141361824499
107,2008-10-28,108,Tuesday,0.8224043715846991,352915442.4075809,1.0268927187104,1.08232272694967,1.0,1.00358122981658
108,2008-10-29,109,Wednesday,0.825136612021858,353277331.385686,1.02630853157288,1.07305209872408,1.0,1.01048567413571
109,2008-10-30,110,Thursday,0.827868852459016,353639250.35281235,1.02577074066244,1.05596617057914,1.0,1.01477837728998
110,2008-10-31,111,Friday,0.8306010928961751,354001202.2398983,1.02590230074506,1.0084282206869302,1.0,0.996272202653542
111,2008-11-01,112,Saturday,0.833333333333333,354363190.0082295,1.0271429993083498,0.861757794301984,1.0,0.985029115620445
112,2008-11-02,113,Sunday,0.8360655737704921,354725216.6493576,1.0284991059008002,0.893059956908333,1.0,0.990821868932951
113,2008-11-03,114,Monday,0.83879781420765,355087285.18503034,1.0299920351678,1.07492763602423,1.0,1.02822840501014
114,2008-11-04,115,Tuesday,0.8415300546448091,355449398.6671078,1.0322470356470201,1.08239539337787,1.0,1.00554568259049
115,2008-11-05,116,Wednesday,0.8442622950819672,355811560.177479,1.0347938430428198,1.07312219973598,1.0,1.02750946336524
116,2008-11-06,117,Thursday,0.846994535519126,356173772.8279714,1.03715824668691,1.0560609530760101,1.0,1.01975275411748
117,2008-11-07,118,Friday,0.8497267759562841,356536039.76026887,1.03886184141892,1.008515679268,1.0,1.01284538997474
118,2008-11-08,119,Saturday,0.852459016393443,356898364.1458108,1.03994889495875,0.861584181098506,1.0,0.984776351962509
119,2008-11-09,120,Sunday,0.8551912568306009,357260749.185702,1.0408452021894101,0.892761410100637,1.0,0.987109770920732
120,2008-11-10,121,Monday,0.8579234972677601,357623198.11061513,1.04164276950744,1.07502845901383,1.0,0.999279386903795
121,2008-11-11,122,Tuesday,0.860655737704918,357985714.18068004,1.04188502915498,1.08246806468485,1.0,0.9877919424355129
122,2008-11-12,123,Wednesday,0.863387978142076,358348300.6853904,1.04158714989575,1.07319230532748,1.0,0.9744365967030351
123,2008-11-13,124,Thursday,0.8661202185792349,358710960.9434869,1.04154572352617,1.0561557440804599,1.0,1.02093989015288
124,2008-11-14,125,Friday,0.868852459016393,359073698.3028522,1.04207650772279,1.00860314543414,0.8500773013238759,1.0
125,2008-11-15,126,Saturday,0.8715846994535521,359436516.1403947,1.04284280633237,0.8614106028718441,1.0,0.9772024293472579
126,2008-11-16,127,Sunday,0.87431693989071,359799417.8619277,1.04351301551101,0.892462963096091,1.0,0.9837628422910879
127,2008-11-17,128,Monday,0.877049180327869,360162406.9020559,1.0437547494266,1.07512929146015,1.0,1.00325860225603
128,2008-11-18,129,Tuesday,0.879781420765027,360525486.72405124,1.04323002203016,1.08254074087092,1.0,0.99655872104877
129,2008-11-19,130,Wednesday,0.8825136612021859,360888660.8197181,1.0414494129724798,1.07326241549888,1.0,0.9811531405232479
130,2008-11-20,131,Thursday,0.8852459016393441,361251932.70927453,1.03908319663217,1.05625054359327,1.0,1.00750228144721
131,2008-11-21,132,Friday,0.8879781420765029,361615305.9412161,1.03724735455923,1.00869061918602,1.0,1.01581759342497
132,2008-11-22,133,Saturday,0.890710382513661,361978784.09217423,1.03400116723506,0.861237059614952,1.0,0.9925012074683629
133,2008-11-23,134,Sunday,0.8934426229508199,362342370.7667884,1.0312140272835502,0.8921646158613309,1.0,0.9965165322239441
134,2008-11-24,135,Monday,0.896174863387978,362706069.59755105,1.03037849079528,1.0752301333640502,1.0,1.0171284636252902
135,2008-11-25,136,Tuesday,0.898907103825137,363069884.2446778,1.02978700501247,1.08261342193643,1.0,1.00539556845847
136,2008-11-26,137,Wednesday,0.9016393442622951,363433818.3959429,1.02950961411931,1.07333253025048,1.0,0.948035900626136
137,2008-11-27,138,Thursday,0.9043715846994541,363797875.76653904,1.02961653556498,1.0563453516151802,1.0,0.9306056079599171
138,2008-11-28,139,Friday,0.907103825136612,364162060.0989178,1.03017839871722,1.00877810052429,1.0,0.950093521840968
139,2008-11-29,140,Saturday,0.909836065573771,364526375.162636,1.03234014042432,0.8610635513207849,1.0,0.9651120797835401
140,2008-11-30,141,Sunday,0.9125683060109291,364890824.75419086,1.03576598566568,0.891866368363003,1.0,0.9840978718667222
141,2008-12-01,142,Monday,0.9153005464480871,365255412.69685435,1.03829018303443,1.07533098472644,1.0,0.944562692185017
142,2008-12-02,143,Tuesday,0.918032786885246,365620142.8405119,1.04043858692477,1.0826861078817,1.0,0.989557392338821
143,2008-12-03,144,Wednesday,0.9207650273224041,365985019.06148297,1.04314876233356,1.0734026495825801,1.0,0.9982266759345829
144,2008-12-04,145,Thursday,0.923497267759563,366350045.26235926,1.04484983060225,1.05644016814698,1.0,1.0019780326397
145,2008-12-05,146,Friday,0.9262295081967209,366715225.3718155,1.04529852061254,1.0088655894496,1.0,0.9982965278789641
146,2008-12-06,147,Saturday,0.92896174863388,367080563.34443897,1.04512492422133,0.860890077982299,1.0,0.96969224492992
147,2008-12-07,148,Sunday,0.931693989071038,367446063.16054124,1.04444501551337,0.8915682205677671,1.0,0.968630008152563
148,2008-12-08,149,Monday,0.934426229508197,367811727.5694865,1.04337532820094,1.07543184554819,1.0,0.964715916147712
149,2008-12-09,150,Tuesday,0.9371584699453549,368177559.59234446,1.04203619787142,1.0827587987070602,1.0,0.989284747558173
150,2008-12-10,151,Wednesday,0.939890710382514,368543563.6561028,1.04129033050343,1.0734727734954899,1.0,0.980085788527706
